Unnamed: 0,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
118,3,14,9,5,24,17,27,3,11,4,27,5,24,23,7,21,28,29,29,26,0,20,20,9,10,7,26,20,0
119,3,6,11,10,0,14,21,26,1,1,23,20,3,20,3,24,29,8,24,13,6,16,24,22,10,11,1,22,6
122,3,19,8,4,26,23,27,28,2,10,21,21,29,27,17,1,27,29,2,0,25,25,14,24,28,1,16,11,2
123,3,16,23,15,2,22,23,21,2,22,24,5,6,5,28,29,13,19,11,14,15,9,8,11,22,17,23,19,5
124,3,14,11,6,18,27,8,2,23,7,14,16,1,9,12,14,11,16,24,29,13,6,19,14,12,18,18,2,21
125,3,17,12,9,0,16,29,28,4,6,9,18,11,0,0,25,0,5,24,24,25,27,0,27,21,3,12,1,3
126,3,13,12,11,28,20,11,24,0,28,3,29,6,26,10,15,26,2,22,14,18,21,16,3,9,2,10,20,10
127,3,26,9,3,17,15,27,13,20,27,24,19,16,11,26,27,13,19,14,11,18,10,12,12,20,17,19,2,4
130,3,17,10,10,21,26,9,10,22,10,15,12,26,7,23,27,13,19,23,26,16,5,11,12,10,18,20,1,22
131,3,15,23,6,2,21,2,27,27,19,23,3,8,13,25,24,10,13,4,18,19,11,12,12,17,14,25,14,4
132,3,18,7,4,7,1,26,18,20,20,21,8,19,9,17,21,13,24,2,1,3,12,1,23,4,19,11,21,24
133,3,10,9,2,25,17,1,7,0,3,27,18,23,11,11,5,6,24,6,0,1,6,27,24,4,16,23,18,23
134,3,13,23,7,6,1,26,9,27,11,20,12,7,20,10,12,27,8,28,27,27,26,17,19,2,3,14,2,14
135,3,28,10,3,6,18,20,17,9,18,4,23,6,17,25,18,5,24,29,29,22,18,11,17,20,11,20,1,9
138,3,21,9,5,23,29,21,5,23,15,27,18,10,27,20,2,23,7,14,16,0,25,19,19,1,3,17,6,24
139,3,9,8,3,2,24,0,29,4,4,24,20,22,12,4,17,4,15,22,12,12,18,0,0,0,16,0,23,24
140,3,10,11,14,14,17,24,21,12,4,12,24,7,23,9,12,27,28,28,18,0,19,13,5,12,7,2,13,7
141,3,17,8,4,28,28,0,27,0,0,26,7,17,27,14,3,24,3,15,1,2,24,19,1,8,27,2,24,0
